,名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03,利き手,攻守
39,Abyell,15:44.7,00:10.4,0:01,1:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,ANDO Minami,F,Push,B,R,攻撃
40,Abyell,16:09.1,00:07.0,0:01,1:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,ANDO Minami,B,Stop,FS,R,攻撃
0,Abyell,01:15.8,00:05.7,0:00,0:00,Mallets,#02,HAMAMOTO Yui,(Side),F,BS,NAGAO TAKAKO,F,Push,B,R,攻撃
1,Abyell,01:29.4,00:06.1,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Stop,BMS,R,攻撃
4,Abyell,02:20.2,00:10.5,0:00,0:00,Abyell,#09-,NAGASAKI Miyu,Back,B,FS,FENG Tianwei,F,Stop,BMS,L,攻撃
5,Abyell,02:40.1,00:06.9,0:00,0:00,Mallets,#04,NAGASAKI Miyu,Back,B,FS,FENG Tianwei,F,Flick,F,L,攻撃
8,Abyell,03:51.9,00:07.1,0:00,0:00,Mallets,#04,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,B,Chiquita,FM,R,攻撃
9,Abyell,04:09.9,00:07.5,0:00,0:00,Mallets,#04,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Stop,ネットイン,R,攻撃
12,Abyell,04:55.8,00:07.4,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,FS,FENG Tianwei,F,ドライブ,BM,L,攻撃
13,Abyell,05:11.3,00:07.2,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,FS,FENG Tianwei,F,ドライブ,BM,L,攻撃
16,Abyell,07:30.7,00:07.1,0:00,0:01,Abyell,#01,HAMAMOTO Yui,(Side),F,FS,NAGAO TAKAKO,F,Flick,ネット,R,攻撃
17,Abyell,07:47.3,00:07.8,0:00,0:01,Mallets,#04,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Push,B,R,攻撃
20,Abyell,10:15.6,00:06.0,0:01,0:01,Mallets,#04,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Push,B,R,攻撃
21,Abyell,10:30.5,00:08.5,0:01,0:01,Mallets,#04,HAMAMOTO Yui,Back,F,FMS,FENG Tianwei,F,Stop,BMS,R,攻撃
